scenario_name,tick,price,state_before,state_after,spread,ratio,long_size,short_size,long_avg,short_avg,actions,filled_orders,heal_triggered,heal_filled,heal_blocked_by_cooldown,heal_blocked_by_guard
recovery_spread_healing_case,1,99.5,recovery,pool_edge,0.025313957342793632,0.49975012493753124,1000.5,500.0,99.99975012493753,97.5,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-168527-1774096655918)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-168527-1774096655918)",True,True,False,False
recovery_spread_healing_case,2,99.0,pool_edge,pool_edge,0.025313957342793632,0.49975012493753124,1000.5,500.0,99.99975012493753,97.5,"place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-d28d56-1774096655918)","place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-d28d56-1774096655918)",False,False,False,False
recovery_spread_healing_case,3,98.7,pool_edge,pool_edge,0.025299778883693433,0.49975024975024973,1001.0,500.25,99.99910089910091,97.50074962518741,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-bca3a2-1774096656669)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-bca3a2-1774096656669)",True,True,False,False
recovery_spread_healing_case,4,98.4,pool_edge,recovery,0.025299778883693433,0.49975024975024973,1001.0,500.25,99.99910089910091,97.50074962518741,none,none,False,False,True,False
recovery_spread_healing_case,5,98.1,recovery,pool_edge,0.025290298987570698,0.499500748876685,1001.5,500.25,99.99815277084375,97.50074962518741,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-169004-1774096656669)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-169004-1774096656669)",True,True,False,False
recovery_spread_healing_case,6,97.9,pool_edge,recovery,0.025290298987570698,0.499500748876685,1001.5,500.25,99.99815277084375,97.50074962518741,none,none,False,False,True,False
recovery_spread_healing_case_2,1,96.5,recovery,pool_edge,0.024813923265499048,0.49982149232416995,1400.5,700.0,97.89950017850768,95.5,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-263208-1774096656669)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-263208-1774096656669)",True,True,False,False
recovery_spread_healing_case_2,2,96.1,pool_edge,pool_edge,0.024813923265499048,0.49982149232416995,1400.5,700.0,97.89950017850768,95.5,"place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-e7385b-1774096656670)","place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-e7385b-1774096656670)",False,False,False,False
recovery_spread_healing_case_2,3,95.9,pool_edge,pool_edge,0.024804392597708023,0.49982155603140616,1401.0,700.25,97.89878658101357,95.50021420921098,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-f047b6-1774096657420)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-f047b6-1774096657420)",True,True,False,False
recovery_spread_healing_case_2,4,95.6,pool_edge,recovery,0.024804392597708023,0.49982155603140616,1401.0,700.25,97.89878658101357,95.50021420921098,none,none,False,False,True,False
recovery_spread_healing_case_2,5,95.4,recovery,pool_edge,0.024795287933054907,0.49964323938637173,1401.5,700.25,97.89789511237962,95.50021420921098,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-fa9411-1774096657420)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-fa9411-1774096657420)",True,True,False,False
recovery_spread_healing_case_2,6,95.2,pool_edge,recovery,0.024795287933054907,0.49964323938637173,1401.5,700.25,97.89789511237962,95.50021420921098,none,none,False,False,True,False
deep_trace_spread_3_0,1,99,recovery,pool_edge,0.030451856436899478,0.49975012493753124,1000.5,500.0,99.99950024987507,97.0,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-e06967-1774096657421)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-e06967-1774096657421)",True,True,False,False
deep_trace_spread_3_0,2,98,pool_edge,pool_edge,0.030451856436899478,0.49975012493753124,1000.5,500.0,99.99950024987507,97.0,"place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-54bba9-1774096657421)","place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-54bba9-1774096657421)",False,False,False,False
deep_trace_spread_3_0,3,97,pool_edge,pool_edge,0.030431726345914362,0.49975024975024973,1001.0,500.25,99.998001998002,97.00049975012493,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-e1dbb2-1774096658171)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-e1dbb2-1774096658171)",True,True,False,False
deep_trace_spread_3_0,4,96,pool_edge,recovery,0.030431726345914362,0.49975024975024973,1001.0,500.25,99.998001998002,97.00049975012493,none,none,False,False,True,False
deep_trace_spread_3_0,5,95,recovery,pool_edge,0.030406778727436128,0.499500748876685,1001.5,500.25,99.99550673989016,97.00049975012493,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-6b3676-1774096658172)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-6b3676-1774096658172)",True,True,False,False
deep_trace_spread_3_0,6,93,pool_edge,recovery,0.030406778727436128,0.499500748876685,1001.5,500.25,99.99550673989016,97.00049975012493,none,none,False,False,True,False
deep_trace_spread_3_0,7,92,recovery,pool_edge,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-bbe36c-1774096658172)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-bbe36c-1774096658172)",True,True,False,False
deep_trace_spread_3_0,8,93,pool_edge,recovery,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,none,none,False,False,False,True
deep_trace_spread_3_0,9,94,recovery,recovery,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,none,none,False,False,False,True
deep_trace_spread_3_0,10,95,recovery,recovery,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,none,none,False,False,False,True
deep_trace_spread_3_0,11,96,recovery,recovery,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,none,none,False,False,False,True
deep_trace_spread_3_0,12,97,recovery,recovery,0.030366887611005103,0.49925149700598803,1002.0,500.25,99.99151696606786,97.00049975012493,none,none,False,False,False,True
deep_trace_spread_3_5,1,99,recovery,pool_edge,0.035618413740747354,0.49975012493753124,1000.5,500.0,99.99950024987507,96.5,"place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-0da45f-1774096658172)","place_market_order(side=Buy, qty=0.5, order_link_id=psrh-RECOVERY-HEAL-PROOF-0da45f-1774096658172)",True,True,False,False
deep_trace_spread_3_5,2,98,pool_edge,pool_edge,0.035618413740747354,0.49975012493753124,1000.5,500.0,99.99950024987507,96.5,"place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-cb45ac-1774096658172)","place_market_order(side=Sell, qty=0.25, order_link_id=psrh-HEDGE-RECOVER-cb45ac-1774096658172)",False,False,False,False
